instance;β;Layout;transform;energy;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-560.4936476666371;-55.92649148192918;-6.379005874700326;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1463.32181712;0.011;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.02273834877200375, 0.05649645805476491, 0.05225735796044134, 0.050654577918964, 0.03492489205317187, 0.0348748388143254, 0.036444349427223036, 0.019702443478459536, 1.0], 4 => Any[1.0, 1.0, 0.026836304101134325, 0.020957549239298077, 0.021289504510619613, 0.027848963962825924, 0.014989985755400777, 0.02731829571175487, 0.02898529041947208, 0.04159250062375499, 0.03972954371885646, 0.04656695524883415], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.02851948362713675, 0.0184927637118282, 0.020149951181041757, 0.025423761310087934, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.009489449730054084, 0.026949487134451635, 0.025089246846806756, 0.003488810393409563, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.005801574056482266, 0.030982892105283946, 0.0554532559902483, 0.046458389074845646, 0.049948169073539724, 0.033365097640339236, 0.02177673396154676, 0.0059265922739358545, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-559.1552707305067;-55.84004263352368;-6.59101816372044;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1376.762349974;0.011;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.03930058860255285, 0.018818221797961228, 0.05121280096606502, 0.0332207239456237, 0.07044724382922674, 0.05369209052167473, 0.03182879180605994, 0.032291626301719466, 1.0], 4 => Any[1.0, 1.0, 0.02571493517025573, 0.029756795677430285, 0.04956457604076824, 0.041684849010621965, 0.05761101738542491, 0.058785544420310934, 0.07524317877798, 0.05309514197093862, 0.03037815428498539, 0.048564472409937075], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03995214762860663, 0.03504066237055675, 0.02858203245568505, 0.026732936195532558, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.005721069011210394, 0.0317377698049678, 0.014634428066067915, 0.003041290589064318, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.005286834740468314, 0.02971679993446338, 0.03568216399263423, 0.046509220916589614, 0.04580300430319238, 0.03184182991652858, 0.04674595658799466, 0.006319444318280944, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-558.4027002162446;-56.44702375317909;-6.482565276830846;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1464.880918075;0.011;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.03867057238255268, 0.041264368261901024, 0.043685671892842864, 0.055475203378757394, 0.0426694756247353, 0.04979301531915645, 0.05545798131893861, 0.05070425098386979, 1.0], 4 => Any[1.0, 1.0, 0.02227351480460483, 0.011590674053641089, 0.024255049447229886, 0.041351330991741014, 0.044789195180731385, 0.05648451531875113, 0.055809651534122956, 0.05738547417324098, 0.04009464867056904, 0.016702710627437337], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.027588195953423607, 0.030257523103160128, 0.03151449420768058, 0.035633560729280915, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0036831066423936554, 0.023815829582969735, 0.03564560711406884, 0.0077055425416501806, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.007835321856899334, 0.04602031814738337, 0.05065643206208419, 0.03643075726483019, 0.036665339824404286, 0.014896190807577049, 0.0223242888106855, 0.0031423703241474973, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-558.3672059856616;-56.32952836117243;-6.380024658133471;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1436.648880018;0.011;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.050745463361750336, 0.05548771838176744, 0.0498174923517332, 0.042747143791915375, 0.05505326061619074, 0.04134198920720208, 0.041640140726980586, 0.043203094110732386, 1.0], 4 => Any[1.0, 1.0, 0.016583050437850636, 0.03997065519166246, 0.05706392411392575, 0.05461716416228967, 0.05746482144133514, 0.046625124665898396, 0.04271874663002454, 0.024921694642604776, 0.012642642632139711, 0.022538951715166948], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.035540191448367356, 0.030867008350984427, 0.030542798831171766, 0.027632066296498163, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.006141007753827826, 0.03550141209940012, 0.024002863947538974, 0.003230290426749229, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.0031051374253363915, 0.015162179201009285, 0.0120306113492073, 0.03601540787753349, 0.03562992205346506, 0.05061408154079192, 0.04608651688330814, 0.007951808713389012, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-560.493647666637;-55.643809660387426;-6.504955640189791;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1530.97825745;0.011;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.017016609186805066, 0.03478235920699755, 0.03530787014590223, 0.028241474931841714, 0.06007746419111106, 0.05203329753210101, 0.056311109259374374, 0.022589065192860174, 1.0], 4 => Any[1.0, 1.0, 0.04592036105165088, 0.04153716057931389, 0.042096738862762, 0.03013106380081384, 0.02675334423713659, 0.014313660946656441, 0.02115844636944364, 0.021295128877944876, 0.02101576729010283, 0.03116463625072084], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.02686314751659332, 0.01737841179054927, 0.01878784258591597, 0.044485596989079744, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0035949487630594075, 0.02460478340306968, 0.031236714222109923, 0.009464417095032847, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.005407782415660481, 0.021647120718319843, 0.03519568792394993, 0.051428184489385964, 0.054468130668650756, 0.05433186009937544, 0.030595006317407816, 0.005779527987068177, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-557.6579117300643;-56.604651613468846;-6.31082761611249;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1578.875148307;0.011;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.030078561332521667, 0.037250430264018, 0.02710798826930068, 0.040345606436973186, 0.028949570541113218, 0.016643404352889423, 0.03183560399310517, 0.052631175930407545, 1.0], 4 => Any[1.0, 1.0, 0.02752007144813892, 0.046003731205715374, 0.06382749658222929, 0.04035206444478955, 0.027817190965668336, 0.05801204556577554, 0.06343793673940948, 0.042939133961742655, 0.03513827413770524, 0.030144998748547477], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.02490053880924976, 0.042750946549271016, 0.026521414886078135, 0.030845324045527475, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.002631651546297193, 0.015715929479439502, 0.01870858652174829, 0.0030122378959906207, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.00548060093535666, 0.03766168790766503, 0.03976948029312625, 0.058114422085361606, 0.040788433184906665, 0.019674813267328548, 0.03683238952013792, 0.00307573047667549, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-557.6316639358712;-56.29728330097055;-6.508414607398031;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1425.286182114;0.012;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.02958635239661858, 0.020459117509921, 0.02429936447471406, 0.036640906673993896, 0.05441655494242406, 0.051120077237887876, 0.029091165601256158, 0.024846360041983522, 1.0], 4 => Any[1.0, 1.0, 0.034092041284979765, 0.02000835647469527, 0.022966353190326118, 0.03565630400105153, 0.04753277131412176, 0.05854593316149909, 0.051063280924875075, 0.06491724564199385, 0.026824698398580663, 0.036543662443026224], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03597551399015817, 0.039906151413933645, 0.03089291015835032, 0.039334435964530644, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.004450871411019732, 0.03813929734864087, 0.02560589727038019, 0.004374978654500343, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.011303216477257736, 0.04787634779688372, 0.04177528226922965, 0.037055068152158366, 0.054734772793610345, 0.051946734561064634, 0.04413163588836968, 0.011999842447897487, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-556.2696283192681;-56.77021235917214;-6.799079892845866;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1314.49121352;0.012;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.02554489464932935, 0.02578298285499028, 0.05091861855665449, 0.05534846669408492, 0.03565964145179745, 0.026956254764738903, 0.020919841268462674, 0.03086182488995046, 1.0], 4 => Any[1.0, 1.0, 0.03721386565324022, 0.02620680929143338, 0.06361132991617235, 0.05195261301230353, 0.05678968615291227, 0.046166172236750014, 0.03597814414567964, 0.02088390927423241, 0.020929836122831096, 0.03508102012557257], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03935589172261215, 0.03078547265243217, 0.04024381274789277, 0.05157480779415587, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0035998832238929, 0.024555614917969204, 0.03595264676778122, 0.0049448014508284895, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.012871055902199913, 0.04533729945879956, 0.06632290222385723, 0.05506546279093985, 0.03905015475013584, 0.043539163988926884, 0.047963000832800216, 0.011658643933647742, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-558.4609435167428;-55.109907855778;-6.595290394136451;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1466.06067862;0.012;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.019594142855143836, 0.023350104631822254, 0.0537908519813067, 0.06027845909006883, 0.06994375859903326, 0.04121504688888428, 0.04721511231457513, 0.047197901797966506, 1.0], 4 => Any[1.0, 1.0, 0.026810460887644414, 0.05126370438520915, 0.05168255563329738, 0.057204574909290394, 0.06791711327023897, 0.050972930613160376, 0.043148432218978794, 0.061628698539764826, 0.04278894106152155, 0.016701727010756607], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.039877644885773965, 0.0202908998873066, 0.025292727344138233, 0.0466710164237014, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.004181758509481349, 0.04198125923055731, 0.0362127732132355, 0.003966432481034892, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.006766178342352811, 0.04466144350224442, 0.04604558061162229, 0.040508098065699945, 0.04568964596908088, 0.031584196655832536, 0.017492766179175234, 0.012369896953789176, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-559.5364710343107;-54.42313618947253;-6.7230254630776844;0.0;128;8;16.0;0;16384;2;1;2;1.0e-16;1411.043367773;0.012;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.0365641887271596, 0.018137119449800548, 0.024793969166217244, 0.02515881953053919, 0.053158868485982974, 0.045782557568863194, 0.04626246722675588, 0.021218601126976593, 1.0], 4 => Any[1.0, 1.0, 0.04378857430177254, 0.047552651396502686, 0.042626526212800255, 0.08660857330751374, 0.04051317397074834, 0.03742445375727066, 0.042071065529194145, 0.0689534339332495, 0.052759162687904475, 0.03862513522152788], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03432267796035443, 0.034040249777542504, 0.02650525392621796, 0.02487836645586863, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0013810545035775048, 0.012465606672044717, 0.024005259505333346, 0.005123584031833062, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.005287777267373921, 0.04787131993827444, 0.03374231349634509, 0.06581657314167738, 0.06155855505773905, 0.054856085827885245, 0.042697888880836844, 0.006238665749745725, 1.0])
