instance;β;Layout;transform;energy;best_dwave;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts;error
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-492.0;-492.0;-14.230128532125747;-6.9307111326658095;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.280208371;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 3.114084845800751e-5, 0.001973090183452655, 4.55648280103858e-5, 0.0005309603827827805], 3 => Any[1.0, 1.0, 0.0001376379466746808, 0.001077922019079045, 0.0001491578493352043, 0.0009793246843401737]);
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-492.0;-492.0;-14.207596536773927;-8.662870517135364;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;6.873332295;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 9.280131382641296e-5, 1.030558411905609e-5, 0.002177731455391353, 3.107847627066936e-5], 3 => Any[1.0, 1.0, 0.0026685605521254174, 0.0003271886786534267, 0.014260343801035852, 0.0002924801709509873]);
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-492.0;-492.0;-14.205288571307955;-7.129932412446012;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.219842939;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.001340586993195352, 7.13126072913453e-6, 1.7192338330550903e-5, 8.49882680092435e-6], 3 => Any[1.0, 1.0, 0.0024191753305272856, 0.00022668054916313661, 0.002891991182808388, 0.0005058636265056027]);
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-492.0;-492.0;-14.199710063569105;-7.154372877568201;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;6.779416626;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.002409471732725484, 0.0007029307974373527, 0.0107535386926939, 0.000259414602043443], 3 => Any[1.0, 1.0, 0.0015941392566868769, 0.000505038235031898, 0.0004452576333269659, 4.14000954481677e-5]);
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-492.0;-492.0;-14.201285767563375;-7.097410921713626;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.052165066;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 8.599824638752649e-6, 1.7253959865769322e-5, 7.12466598406489e-6, 0.001340564948887203], 3 => Any[1.0, 1.0, 0.0005245655549633402, 0.0031742142063981116, 0.0002240091350672994, 0.002426969534258168]);
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-492.0;-492.0;-14.175140685894625;-7.304178809263579;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;8.735630403;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00025538028463393923, 0.013719658686776487, 0.0007142665748090725, 0.0023961647486512617], 3 => Any[1.0, 1.0, 3.5881547522637544e-5, 0.00031075303451303624, 0.0005079759711884164, 0.0015861379072088838]);
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-450.0;-460.0;-15.437541145643527;-6.960295363131108;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.895685565;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00012043483030312875, 0.0001545332020301238, 5.799300809134575e-5, 4.088398093942415e-5], 3 => Any[1.0, 1.0, 2.287558735980883e-5, 0.0015878599216687537, 0.00017497232994980307, 0.00016310307503720076]);
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-450.0;-460.0;-16.382594221671866;-6.764037414280203;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.210577043;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0006271312367917571, 0.0021688180121142617, 0.00043550752445911445, 0.0056017602444024765], 3 => Any[1.0, 1.0, 5.4206522261771694e-5, 0.00380596194423817, 7.447978545646459e-5, 0.0004204779515878046]);
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-450.0;-460.0;-15.112930948041905;-6.8166541579911275;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.594781784;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.004157195434849767, 0.0026291449861303795, 0.002078543855512162, 0.00017513834436548193], 3 => Any[1.0, 1.0, 0.03934438944766506, 0.001037472379414938, 0.0010081209110424712, 0.00013549806258891542]);
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-450.0;-460.0;-13.976308774232193;-6.804697059174465;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.731575641;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 4.859292091486575e-5, 8.580894884154397e-5, 0.0001640816763000181, 0.00021935814917930512], 3 => Any[1.0, 1.0, 0.00014896009636238857, 0.00017843824859674104, 0.0012510719665543354, 2.588100378677771e-5]);
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-450.0;-460.0;-15.027665099792692;-6.841713303889859;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.324403058;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0008167722976945385, 0.010461874079764774, 0.002125062443384788, 0.005112036633362612], 3 => Any[1.0, 1.0, 0.00018106846157415883, 0.0009706392505110563, 2.1593499146926348e-6, 2.3078308960733413e-5]);
