instance;β;Layout;transform;energy;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-2740.0;-117.90268529520625;-6.502439756427706;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;514.456498089;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0024119200940711607, 0.005744663635220175, 0.00016103758805266125, 0.0047674293812656745, 0.00038147683662710365, 0.0119986946226082, 0.0035698284455970824, 0.012284157962776317, 0.0002671342544533223, 0.0010395095582651694, 0.00016256580768006347, 0.012866545610778943], 4 => Any[1.0, 1.0, 0.000674416239764994, 0.011248638167545873, 0.00027938409261917804, 0.0172299928209181, 0.004511608229572962, 0.023297430411286884, 0.0061695427152661, 0.05275810066480585, 0.0019131463118636904, 0.04585752688027974, 0.012272143371548298, 0.0793658084077737], 6 => Any[1.0, 1.0, 0.006091521338055343, 0.08242720652795782, 0.029301637276077173, 0.04849222032259125, 0.002455155390586279, 0.004990774395163383, 0.00527174476339538, 0.031126089081781782, 0.002884804996937931, 0.009510202657262289, 0.0008989174991543669, 0.009751431950543128], 7 => Any[1.0, 1.0, 0.0008105437230202223, 0.017577256816064857, 0.02070067007220615, 0.02366842852326296, 0.000623454641164734, 0.006308057459845335, 0.0029034580674989433, 0.04125030770139505, 0.0009634215306201535, 0.016879013314073137, 0.001227532703039985, 0.005623971471643069], 2 => Any[1.0, 1.0, 0.002484030443726608, 0.016177661791642397, 0.0030797065850551642, 0.044025170626967695, 0.004870766444926918, 0.026187139607957793, 0.009722143084143969, 0.045533482798527106, 0.0020919997784137018, 0.006568152824227535, 0.00217418434026826, 0.01705725150461707], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.004388840422777128, 0.01781283103801888, 0.003521022803163, 0.044471105596745164, 0.009948677496683886, 0.03519404184339549, 0.001788984773052049, 0.015099074082138649, 0.00038591763291610966, 0.004865831618857749, 0.0020655187700379597, 0.022533000034593985])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-2740.0;-115.53132923453221;-7.606459743948247;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;560.326044882;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.040124397102133086, 0.006773043824294855, 0.010403287948021447, 0.0008724144690856802, 0.028319697023613803, 0.003200649974693235, 0.03572577581558991, 0.0028153402526673575, 0.0036245202433222833, 0.0028807570361169045, 0.03748840505782241, 0.0035400655679834214], 4 => Any[1.0, 1.0, 0.0011005172092806877, 7.891514769803438e-5, 0.0006659395018308595, 3.528816564150983e-5, 0.012978390529323465, 0.0013381625822913034, 0.004183741024612007, 0.0007442743900940065, 0.018792328678814148, 0.0037963038960335594, 0.008060958965983784, 0.0018947264656563574], 6 => Any[1.0, 1.0, 0.0010513964700134821, 0.00024731663654754447, 0.0009999308307521396, 0.00015724143154958165, 0.0025701057412524293, 0.0003856188506531865, 0.012507200166424993, 0.0014297352190864002, 0.0010387367065123787, 6.0827791087699714e-5, 0.00043306428634350835, 4.1423920283932426e-5], 7 => Any[1.0, 1.0, 0.01384585877889609, 0.004680412963909574, 0.020825628282081954, 0.008121877584454231, 0.026144269693627098, 0.0045444359927835675, 0.01743227161920669, 0.007297234685361114, 0.010074684431971964, 0.004401111150152437, 0.02251513522377339, 0.007500215163990372], 2 => Any[1.0, 1.0, 0.03178650826511232, 0.003765217024300942, 0.028252382436258595, 0.002942034787656083, 0.008437043167005784, 0.00210566001573884, 0.006282700488063854, 0.0019629979988594775, 0.018526931597571912, 0.0037793722020760616, 0.043774161964089175, 0.00786565877758653], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.03330221654968831, 0.0020130017304764774, 0.01222530330231599, 0.0007285099103826261, 0.007621359117353064, 0.0019700762310124196, 0.006176091837866503, 0.0023737933567108908, 0.023063547384850863, 0.0053292375051522825, 0.005991593508131473, 0.0013785793065772313])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-2740.0;-118.11512483901838;-7.611293425770043;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;583.508794636;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.002546911444915887, 0.008913603081503877, 0.000209090845505314, 0.006589259504815435, 0.0006598632608242023, 0.012862503439764915, 0.0030294792927190715, 0.014488920016594966, 0.002754194374960007, 0.007889884248462828, 0.0023575508784940656, 0.0057144961048053835], 4 => Any[1.0, 1.0, 0.00718308327743306, 0.021253005017315713, 0.0003062869318453125, 0.0026930082624638135, 0.00047299142165440505, 0.0010439953231131571, 0.0004197493499068124, 0.007033704743882675, 0.00013138783676880486, 0.000351836334289022, 0.002420358116005246, 0.019338436703634915], 6 => Any[1.0, 1.0, 0.0007354032845027568, 0.00278269521538126, 0.00020512184415098214, 0.002686612783143853, 0.005373478795482461, 0.04022114709523321, 0.00549214027739635, 0.015939815155972564, 0.0014975203096970042, 0.00649072467687928, 0.0007657481980879425, 0.007167992830644725], 7 => Any[1.0, 1.0, 0.00024622792113730306, 0.0015804649299903887, 0.00024222542383873515, 0.001464167776358541, 0.005772388462867666, 0.021209697153816633, 0.0011336421964306086, 0.003753383364947523, 0.0007627759328411178, 0.0018368451684123962, 0.0012707880430873042, 0.009977504363051632], 2 => Any[1.0, 1.0, 0.00011009956240356989, 0.00160812103387562, 0.00013845887780094935, 0.01310743454872126, 0.0015431271418797478, 0.010564100146724376, 0.00143003792137841, 0.004003671690911036, 0.001055033677157491, 0.010120131754305522, 0.0014507108069331516, 0.0038917908791505987], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.002181009968467125, 0.0049362785799024625, 0.00030975655159673536, 0.002252199244715264, 0.004155705117510129, 0.027849380178616177, 0.004738091856978421, 0.0109807184708943, 0.00017753961153130958, 0.006025857019091831, 0.0013172585304988553, 0.013170909343860992])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-2738.0;-116.51242857755862;-7.673304374347168;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;573.326296706;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.002806893371582591, 0.0007817507960063785, 0.005763463496542767, 0.0034822669289816663, 0.009815311619265427, 0.0035346003341628273, 0.013900373505784316, 0.0007526557559547952, 0.0069866699865497785, 0.0001414861697580058, 0.009582727910783398, 0.0026061523252564472], 4 => Any[1.0, 1.0, 0.01735804466551707, 0.0023972038094082714, 0.0004622765580136471, 0.00015771071522979518, 0.007421533955148387, 0.00040963093281744733, 0.001007375969364151, 0.000503313368643834, 0.0032613824627136918, 0.0003778692108142857, 0.022122443403601737, 0.007135879086365576], 6 => Any[1.0, 1.0, 0.0028772973550661636, 0.0006338693749112176, 0.005661993572796292, 0.001206822354180015, 0.013594398800419164, 0.004889543614386462, 0.038389160293539275, 0.00542090576280675, 0.002567217759946596, 0.00016542924277687118, 0.00337591466167296, 0.0010802579370721968], 7 => Any[1.0, 1.0, 0.009932680811688336, 0.0009326516402377887, 0.0018239782073346418, 0.0006264303401047353, 0.0037528816603181656, 0.0011176820493862595, 0.021237443327961774, 0.0057878890185312625, 0.0014799409631369896, 0.000266976500006315, 0.0016724404109824452, 0.00031063977370023705], 2 => Any[1.0, 1.0, 0.003848205292763271, 0.0014717489785005685, 0.009129910990510725, 0.0009335294976501783, 0.004153038535263502, 0.001752642456350181, 0.010511018896174944, 0.0016145169312427466, 0.013143058022855323, 0.00016543928334797778, 0.0015471076102736411, 0.00010976612634992338], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.0117278065530395, 0.0012642042374199402, 0.006058072164913004, 0.00018865662429663396, 0.011131409842162833, 0.0045537250807719774, 0.031034170017183393, 0.003981215404819792, 0.002466631841826886, 0.0006424044480442623, 0.005043940231053982, 0.002188004086684697])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-2746.0;-113.1198091828087;-7.1421674117286615;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;581.834663776;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.006920860562769151, 0.003079732340819558, 0.01962465886910212, 0.006939840200896128, 0.02266405619695086, 0.004438964811095226, 0.00913404024352122, 0.0011006456891661293, 0.017664355378155916, 0.0036090556698868837, 0.019098197176935686, 0.0009205807518799697], 4 => Any[1.0, 1.0, 0.0508795141133204, 0.024184500137293837, 0.06866298623568338, 0.013362234318609235, 0.035346585325958295, 0.005300591039648239, 0.005074189082311156, 0.0020261629948053798, 0.021542415579699183, 0.0030633993592882906, 0.015568575838322166, 0.003641125870126484], 6 => Any[1.0, 1.0, 0.00029161787817104395, 8.654639449021085e-5, 0.005357165219538418, 0.0011971636626439224, 0.001427993823907975, 0.00032568332645154365, 0.005042627167121423, 0.0005412838697041359, 0.025325723178648965, 0.01789803833720256, 0.021457639663779962, 0.020128819111377552], 7 => Any[1.0, 1.0, 0.007397438478504886, 0.00403502961873366, 0.008672415872073314, 0.008214107901360861, 0.004279974757689503, 0.0027071932526262547, 0.05148929719449382, 0.011143923877447613, 0.02829954113024846, 0.00129242083854596, 0.0007270169585054863, 8.394611342171862e-6], 2 => Any[1.0, 1.0, 0.004531174450080879, 0.002197224172307405, 0.0101258916449449, 0.00012466302995486775, 0.0088374028085343, 0.0004886502166303843, 0.00253701516032274, 2.171294371802533e-6, 0.0003495887513495025, 5.42056498457968e-6, 0.0016444892891542616, 0.0005663287994116984], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.00421296256284341, 0.0008583515443867674, 0.0007961100009436674, 0.0006359110265632798, 0.01040158290032583, 0.002036134603926674, 0.002336612560522479, 0.0006498636630639179, 0.000812270722180207, 0.00013290770065500397, 0.0035364897761616496, 0.0008040757231354957])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-2742.0;-116.99485608626982;-7.603335454672023;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;592.493614388;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0012929664371418331, 0.02328628775405933, 0.004433480328672749, 0.02124193149528315, 0.001395971670611871, 0.009125445668619041, 0.004456005693326357, 0.02282615300388, 0.006899668111132854, 0.019569960383890708, 0.0027422578428868845, 0.007333878672882337], 4 => Any[1.0, 1.0, 0.004518626651557259, 0.016046695485639126, 0.0021693433339201244, 0.022510518057900483, 0.001935390514568386, 0.004074845149075789, 0.004994130010974049, 0.05311835761534472, 0.018308351652607795, 0.07823949700535002, 0.03349165375933371, 0.061074333449639924], 6 => Any[1.0, 1.0, 0.01923233430816554, 0.014888293684963087, 0.017536836365673235, 0.023264695688399784, 0.0019830425608599787, 0.00259383635684312, 0.00029555542375991065, 0.0019968529759516566, 0.0019424701525572207, 0.00925272542052335, 0.00014474364507545995, 0.0004040395345273992], 7 => Any[1.0, 1.0, 5.918282673632699e-6, 0.0006890488210829521, 0.001312248168616457, 0.028187866031203056, 0.01160502786349558, 0.04817123727799274, 0.0026064689084383456, 0.004202882613078349, 0.010179965934372712, 0.01100349247588477, 0.0047948938738717655, 0.007957460892713743], 2 => Any[1.0, 1.0, 0.0005661959815994231, 0.0016362637380325474, 5.044345608526613e-6, 0.00034369588364735845, 2.3575719997274466e-6, 0.0025412215383391287, 0.0004937131523661649, 0.008865299666120726, 0.00011841001581444701, 0.009576711884012937, 0.0020569533305928203, 0.004389220734205116], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.0007387634731544826, 0.0035304767144345097, 0.00013095227747532022, 0.0008818634582958456, 0.00041957788822334906, 0.002324119334041817, 0.0018320858336027296, 0.010885746747723607, 0.0007607681365676041, 0.0012089695855940137, 0.0004060026420770382, 0.004768935025559305])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-2740.0;-114.80883576080065;-6.481690616402326;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;683.760288646;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0037906466920043197, 0.035010757427880505, 0.002123204701406088, 0.0029042195455725624, 0.0019440668915363336, 0.02252007101953322, 0.0014973424084056153, 0.01930135762236515, 0.0009860841477492802, 0.007473046790498801, 0.006145238290876845, 0.03917145450673399], 4 => Any[1.0, 1.0, 0.0018039724473845821, 0.008029853692851117, 0.0038510131435485167, 0.01898238005595168, 0.0007272847575003127, 0.0031542215176433054, 0.0004826400823132791, 0.01357547295059782, 3.5286996892592815e-5, 0.0007026800232128853, 0.00010595644259319797, 0.0015715859778661408], 6 => Any[1.0, 1.0, 4.197735481644762e-5, 0.0004002549426367179, 8.032690715662307e-5, 0.0012635892791446268, 0.001530832754757418, 0.013270974363195397, 0.0004109553263262194, 0.0025993215071514024, 7.032037553714968e-5, 0.002159549163816131, 0.00030799605874102945, 0.0013992207197532625], 7 => Any[1.0, 1.0, 0.007175386188152294, 0.022372577025045207, 0.004402582902630774, 0.009460657067469578, 0.005580818949083089, 0.01336823076478331, 0.004601986360193634, 0.026487450701532727, 0.00940555093045026, 0.020838918598922913, 0.005005286039919552, 0.015337111990381834], 2 => Any[1.0, 1.0, 0.007237867395956681, 0.040408441165633704, 0.0030600567068330017, 0.01647713994292865, 0.0014803121495909405, 0.005751208874131299, 0.001990967920300785, 0.008890403072951613, 0.0033638551794148127, 0.028120642759597712, 0.004533107091440604, 0.0329983682128834], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.0013534094890320554, 0.004800451876238386, 0.0044793504989196885, 0.019600835705014898, 0.00211825140368787, 0.005061576238731921, 0.0017781336914212888, 0.006924774554840626, 0.0007929401555096113, 0.011920234663867501, 0.001976617764193357, 0.03684091966723836])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-2746.0;-112.00647806317806;-7.1487202083094;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;523.106136407;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.013516510773123325, 0.0001617355472499339, 0.0010281068132657314, 0.0002787795557226968, 0.010723795450998018, 0.004317958777988136, 0.01200838471547466, 0.0003655127344450217, 0.004945344327618901, 0.00014568115263877875, 0.006883095932154498, 0.0025797143766440214], 4 => Any[1.0, 1.0, 0.07678993411601258, 0.01703522471428829, 0.04240882484068079, 0.0025949611396432017, 0.046315673397920344, 0.005767288540109367, 0.021395100164977414, 0.004416787277984889, 0.018430703175746025, 0.0005753271622066032, 0.015539658274770099, 0.0007391407781987265], 6 => Any[1.0, 1.0, 0.011927758207567913, 0.0011415168664070882, 0.010258526225162535, 0.0027114595940419643, 0.032276206378814176, 0.0034515107356688714, 0.005630349653610293, 0.00211496015554156, 0.04990486967606802, 0.024187090004463802, 0.08183604768113334, 0.0067675325218506605], 7 => Any[1.0, 1.0, 0.00532944320258505, 0.0011940286207145136, 0.01679372710431651, 0.0009227013341008059, 0.04123124476830011, 0.0028766063416058043, 0.006306558651833436, 0.0006307663741986177, 0.02853039806631334, 0.022009837516723155, 0.020323814351163427, 0.0010360750346839098], 2 => Any[1.0, 1.0, 0.016083572174032227, 0.00214169239789946, 0.006136351719945921, 0.0016654596924587325, 0.0450579035454458, 0.008908517704831018, 0.01872932765110268, 0.0031156999086475643, 0.042584845795405446, 0.002425419506282423, 0.013781278937403947, 0.002233001930521696], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.022415505339652822, 0.001961056961997981, 0.002830815007928688, 0.00022509561512678574, 0.01474667186225391, 0.001312524728354727, 0.030081767139051526, 0.008860993057760115, 0.04457500039551526, 0.003918640116664055, 0.01916338994505132, 0.005519948721958095])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-2738.0;-122.49324391127678;-6.496381763882451;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;625.492472967;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.03027435852433338, 0.008766512895783275, 0.03141361755390058, 0.004611530496525155, 0.03849212028719763, 0.011543620129288506, 0.014283659807384101, 0.0033118548483737826, 0.0035664544058639325, 0.0005377486948040306, 0.0005423870810534499, 1.545126211462121e-5], 4 => Any[1.0, 1.0, 0.013623725988612492, 0.004550901386820762, 0.018718226569476224, 0.003169550926595541, 0.0018013998902515996, 0.0009864661965094067, 0.010899803320479936, 0.0023112954741163817, 0.016404342178118484, 0.00713576807697964, 0.01797264417084025, 0.0017175545998620637], 6 => Any[1.0, 1.0, 0.008274109323378733, 0.002238534634178451, 0.005405253904838441, 0.00248652784258013, 0.016419662250152466, 0.003246717825134137, 0.019095037480337407, 0.005622760256468393, 0.02036026695635986, 0.005575448161587899, 0.01871303000861962, 0.002535916237890886], 7 => Any[1.0, 1.0, 0.005351867724208317, 0.003990779330964359, 0.023046959514031417, 0.010044866613459007, 0.011964897985067615, 0.0009228683122030391, 0.0003544964957224657, 0.0004339692740774776, 0.005067806648926233, 0.0010974565399803837, 0.013661485354390678, 0.0030169379770159984], 2 => Any[1.0, 1.0, 0.00015487127936578918, 0.00024271136907703646, 0.02513029974664734, 0.005029070932317601, 0.021396272473933605, 0.0025836109067730478, 0.010149986308484554, 0.003389668308052875, 0.014393950219518361, 0.005136634046774671, 0.026187770797359237, 0.0036853907096723497], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.01939390560145515, 0.0026617499883506346, 0.018532267932914234, 0.006340036176714081, 0.024748388248168586, 0.002011674694517765, 0.001963587202029893, 0.0014181883865793197, 0.02030975218252075, 0.002628777212001844, 0.026650087490105282, 0.0024468275813382847])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-2742.0;-123.35696228292748;-6.887509703986936;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;544.815450485;1.6;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.007881504335529107, 0.03042963348368236, 0.0008648552872831512, 0.005727307255263102, 0.0009099539376048938, 0.013268929029003347, 0.0011521889689889942, 0.013472842870364925, 0.00241030082311205, 0.007637516533333302, 0.0053423381962835175, 0.020253877266490323], 4 => Any[1.0, 1.0, 0.0011681514133523856, 0.007942454305808325, 0.0011144355429632477, 0.00428735009623719, 0.002148003774621656, 0.004590751237774822, 0.008871995504742455, 0.0283416532885724, 0.005353045629831544, 0.015311198544136928, 0.0022054546972169005, 0.005379279542737388], 6 => Any[1.0, 1.0, 0.0037826820161261663, 0.007551113266430499, 0.0005364161268349301, 0.003225447024748327, 0.002349047630061785, 0.012080393495798385, 0.005139971803411814, 0.02058956801909273, 0.004643300462560134, 0.020523215910224563, 0.004462132348052409, 0.012883739609471822], 7 => Any[1.0, 1.0, 0.00013053464677807692, 0.001500417702343558, 0.00025355022930162495, 0.009078358915047574, 0.0010021432976918016, 0.009881910105446328, 0.0013078008036376103, 0.012215934851520888, 0.0029198570772021597, 0.04427581472071526, 0.014855802520833114, 0.06380407521067558], 2 => Any[1.0, 1.0, 0.006008129427930824, 0.031509705442183934, 0.011969872810181812, 0.014364226097363488, 0.0019934680660567377, 0.018796901232052386, 0.0030279970302645727, 0.00659659847789137, 0.0016971681889698445, 0.009016942505998481, 0.001900645719596894, 0.013978474077200896], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.01294921585716311, 0.04021207562347617, 0.0029522810177662626, 0.008768816445155224, 0.004050756064873623, 0.022988116942284746, 0.0018270695704029221, 0.019858908356397243, 0.012251373956112279, 0.02952505056912159, 0.003321735284316135, 0.02579769085148042])
