instance;β;Layout;transform;energy;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-553.3053747860561;-52.835520155704465;-6.497697024564433;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;213.902205134;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.035938818844392435, 0.032326821026284126, 0.04674398498601633, 0.035529075356196295, 0.039904627723155235, 0.03908358004548226, 0.06380889606658975, 0.06807808193661016, 1.0], 4 => Any[1.0, 1.0, 0.021108344677408707, 0.008540345340906764, 0.014544674419445156, 0.03131043699907147, 0.0254586982315058, 0.06564098589118074, 0.05922185283146913, 0.06957041845065128, 0.05264057249161637, 0.01706459356109656], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.027402422638802628, 0.03132241467423305, 0.03147192695746246, 0.036285399428929214, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0052711912467114114, 0.025123615825175517, 0.0228897798967842, 0.004690470173002362, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.004723855096120701, 0.04274656186015386, 0.03567236397750053, 0.023224984139282288, 0.025967843663308197, 0.006258973670718774, 0.00792575647764112, 0.0019692674017952228, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-553.5133218920226;-52.54912716890798;-6.306855105752014;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;207.250899963;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.023796704932861, 0.02429307270403862, 0.016337723071568347, 0.024481485224829038, 0.030593439649638024, 0.013607498434863731, 0.030532441296849483, 0.05361764095577346, 1.0], 4 => Any[1.0, 1.0, 0.031844391782888636, 0.0355908845436099, 0.034463443230198836, 0.04631066987151897, 0.032675427580383005, 0.051644905158898115, 0.07116779919191642, 0.05515417278935754, 0.034863278557396314, 0.025434583571784474], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.026691876825113797, 0.03484574084356584, 0.02708023686629543, 0.029586852864252933, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0037053918693857437, 0.017720824278764948, 0.019331883212451214, 0.0022382102409576306, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.0076789895608980144, 0.04306795572448216, 0.04288069395543443, 0.048060340648491344, 0.056843628135323884, 0.02546027935222456, 0.02887824556612595, 0.004066808217047098, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-553.5360145959974;-52.529592181753;-6.379920854521536;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;197.33520516;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.06811371472830578, 0.0637666109895275, 0.03891137104516852, 0.03989124389427776, 0.03556900583012375, 0.03567587067993884, 0.03269803777110399, 0.03897517844455343, 1.0], 4 => Any[1.0, 1.0, 0.016439260086024192, 0.052737122467489676, 0.06923508357247819, 0.05950867504808594, 0.06597257937906273, 0.0252300035346452, 0.03057094216067582, 0.019513307125965013, 0.009195677736233528, 0.021591547150783673], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03611186377417436, 0.030332673559887394, 0.03157376989748053, 0.027440698454084422, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.004500732763895852, 0.022726558676101544, 0.024980997268870417, 0.005397346680396241, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.0011811672875390597, 0.007962225014830132, 0.006098838450253427, 0.026690700157532377, 0.02475562072634853, 0.03535635014804994, 0.04355249656611206, 0.004993800366463004, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-554.5281623776907;-51.994236997750505;-6.48477327738195;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;202.718233724;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.053583838684135895, 0.029797612795502446, 0.0119676536348941, 0.03091063610484904, 0.0245761643388877, 0.01653402484543177, 0.033287641762853586, 0.027318624017407863, 1.0], 4 => Any[1.0, 1.0, 0.03415618744495968, 0.03468363050075498, 0.054504889061392836, 0.07409617995593622, 0.04964964043596086, 0.03186627518898499, 0.04602289510696736, 0.044938401975491954, 0.03744671150386975, 0.031913004672424944], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.029594854844914805, 0.027101200275037075, 0.03492586898962757, 0.02668094169534473, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0024685876469814814, 0.019099938941529126, 0.01786081440534599, 0.00435907945076191, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.004059151968402888, 0.028975189084011768, 0.025986552330925877, 0.05890601618203195, 0.046995798018193986, 0.043957400622866155, 0.04155944650528417, 0.007632549499135018, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-554.6519018895871;-52.166121890587846;-6.196970338820006;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;203.498920593;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.03119784504406134, 0.028116930011550398, 0.04170608050856225, 0.03922194279989288, 0.023465194732878152, 0.02382621623767684, 0.011060049513682722, 0.03459706514100573, 1.0], 4 => Any[1.0, 1.0, 0.03728048753936598, 0.03244676665541591, 0.03777635581566483, 0.06263420775751846, 0.04189482074169222, 0.03740190350039122, 0.03274163960119705, 0.029678790584197888, 0.031684106982203676, 0.024742288315810292], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03138610464363171, 0.032684779684609484, 0.026647590673267, 0.03890420335252599, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.002057272125926743, 0.00596817450715678, 0.024842682869007447, 0.0028067730355337338, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.00491774987759269, 0.03817763768836527, 0.021375463103923163, 0.037021680013257195, 0.06665954679634004, 0.055386491453721855, 0.025838016111660773, 0.008451824247859879, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-556.7313537361678;-51.22787377217768;-6.44333140608873;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;301.654377634;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.017096010033596353, 0.03434908206034629, 0.02302265942668367, 0.02116427198682475, 0.05213974935121449, 0.051994769383013416, 0.05340691193757361, 0.025068424440206783, 1.0], 4 => Any[1.0, 1.0, 0.04194999863775765, 0.035296396881447006, 0.03661672895844219, 0.026382176117795947, 0.02361903256026434, 0.022511800698817336, 0.02168118035115719, 0.015107183332153695, 0.011384381797426265, 0.02026491344318487], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.027328052506599226, 0.019684615665762507, 0.02405341728931197, 0.04311850115850241, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.004487221427262835, 0.02622404603235901, 0.04090539797391624, 0.014751516070983198, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.004800582585323144, 0.015604931501794827, 0.027755401283397086, 0.07538499763372435, 0.06895859192834894, 0.07657729072969965, 0.029653467972368334, 0.0036414437966142683, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-556.8610603304124;-50.91006503923837;-6.527686043024441;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;194.199550945;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.03468022482891776, 0.010802998138863379, 0.02822015884803504, 0.02496845904587219, 0.04325552330257792, 0.041966060868969424, 0.027824868685614516, 0.031202907832141937, 1.0], 4 => Any[1.0, 1.0, 0.024598043133565995, 0.03274955377782254, 0.03004341659320747, 0.032656219979267744, 0.037826656700328046, 0.04153072064787178, 0.06128852182391625, 0.039419426003929545, 0.02930638580290061, 0.03696269531592858], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0404219329664002, 0.03436253880997511, 0.025248576091703008, 0.026158491956884848, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0028325499363088856, 0.024830200002194228, 0.005927318956210287, 0.0020851447533645614, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.007855317821486251, 0.02470184121055659, 0.056555798425696545, 0.0655113928514108, 0.043898595823696436, 0.020678179361076188, 0.038312173852114294, 0.0066674807773922755, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-557.2137469044563;-50.915003289960964;-6.3511671810222445;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;203.517765475;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.025159643496868604, 0.05450923514676501, 0.05358565852501007, 0.052020362485770355, 0.01874701927199683, 0.022338598843189866, 0.03541118274899098, 0.019874411237653555, 1.0], 4 => Any[1.0, 1.0, 0.020272071332836702, 0.011648235699572795, 0.01441055888198136, 0.020880318902558884, 0.02240032922529753, 0.023627445390197184, 0.02696048298361412, 0.0366595908422666, 0.03552521988278959, 0.041696206319519015], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.034497224934494045, 0.01769893190130721, 0.017743780358362014, 0.02686826191305397, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.014818252596527021, 0.03941611175911138, 0.02412971231257037, 0.004539727885625959, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.0036266355568726014, 0.02922939290312545, 0.0751836813463447, 0.06923557100472318, 0.07451731951571644, 0.027330535420690118, 0.014794621521847915, 0.0049539913559121344, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-556.2487795978858;-49.71731363966526;-6.826697654834068;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;195.152255485;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.022122834303935253, 0.023087260753384402, 0.04804714563872492, 0.040694738911072025, 0.026978309013965147, 0.023934910527220448, 0.019933500626548695, 0.036126031981322616, 1.0], 4 => Any[1.0, 1.0, 0.028207516155187528, 0.024507172215502807, 0.07658463549822854, 0.06010739807549461, 0.08139404134015277, 0.03224935549274801, 0.026335499822532013, 0.008398887704194944, 0.015028066886250689, 0.029916555736394367], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03845072137663211, 0.03031197990545726, 0.03772294802666771, 0.050987773942182485, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0032844518798045897, 0.01759870873417038, 0.034240928988565296, 0.0034967434547822115, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.009728552191695026, 0.03699827602667284, 0.058264068607519294, 0.06438929890746435, 0.03941875607190082, 0.03825608702131294, 0.054685628259622296, 0.012343304191555498, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-557.3960403526138;-48.89674481249005;-6.450409362266726;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;196.57855842;0.0032;Dict{Any, Any}(5 => Any[1.0, 1.0, 1.0, 0.035530452539803435, 0.019829666223358494, 0.024228641864682855, 0.027617912572571537, 0.040894040760032106, 0.04832542563908891, 0.025158015654790047, 0.022283540694373886, 1.0], 4 => Any[1.0, 1.0, 0.03319854162293767, 0.01171243370771116, 0.008636742395685534, 0.026508179046461845, 0.027834723164569128, 0.08109751775852868, 0.05589103864276317, 0.08019112230752204, 0.027443514910511717, 0.0278893461752509], 6 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03561022904194734, 0.037154662841823886, 0.030361307462088177, 0.03843191695232094, 1.0, 1.0, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0034774311291086747, 0.032976397791082065, 0.018995465859693982, 0.0033496381460715184, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 0.012052272237501086, 0.05368423075489402, 0.030950561713150384, 0.03232466571479495, 0.0666813941003097, 0.0629798982674402, 0.03650946086703714, 0.012536103732179183, 1.0])
