instance;β;Layout;transform;energy;best_dwave;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-2726.0;-2742.0;-108.46004173216251;-6.70780810180308;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;91.802974387;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0025294832399304886, 0.006456838265956977, 0.00030835950583740594, 0.0031272223459879052, 0.0008701197334667059, 0.026650417610095487, 0.005526929101749688, 0.0364797780232385, 0.0005626606587256972, 0.0014868432987124424, 0.0001462997365817101, 0.01322225782540009], 4 => Any[1.0, 1.0, 0.0010830766434864613, 0.00863610482301011, 0.0005143769527044522, 0.008182425809751787, 0.002179375887005946, 0.018630198687886335, 0.0010136819713031202, 0.047038889168773204, 0.0012336034923843453, 0.026771419820868385, 0.009163041465101465, 0.05697352377099507], 6 => Any[1.0, 1.0, 0.0027028944695830573, 0.0647770444756422, 0.011215918604088337, 0.025125580368138296, 0.0015871867051124827, 0.0027901189077216377, 0.004381797165811027, 0.01991315879536047, 0.0009359560320881396, 0.0051468217880192135, 0.0008981244446483821, 0.0060956621177371655], 7 => Any[1.0, 1.0, 0.0014984549626143027, 0.03625073632330459, 0.026260435066522925, 0.030727151354247053, 0.0009302133761789738, 0.010172272362605143, 0.002903021198153881, 0.03632217972468026, 0.001088545054401919, 0.020869809824134312, 0.0013005316700761594, 0.004461703617329322], 2 => Any[1.0, 1.0, 0.0015263320747755638, 0.006474264547620298, 0.0006019530923312584, 0.018235437866827447, 0.0014415689700251128, 0.011375345695234339, 0.00560892338145567, 0.030312349959579137, 0.0008563004872594328, 0.0033617738654754216, 0.002338182833951723, 0.012332617060055154], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.0022128450367498924, 0.01198907125331218, 0.0015295347395850862, 0.034438765971488546, 0.006286829960299551, 0.02875442244797377, 0.0005847065072536528, 0.009390854459542618, 0.00017062040368750098, 0.002649831260854476, 0.0025055781222867654, 0.011060103403042905])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-2732.0;-2742.0;-105.5351997907626;-7.604868846285981;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;99.870336548;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0317290971635113, 0.002470567387266378, 0.003671513806803827, 0.0003932336435993636, 0.019173395066354057, 0.0012496058976106067, 0.013967525378824841, 0.0007782096502250221, 0.0027222348523730576, 0.001429114931198641, 0.031390004332376015, 0.0027039357456461878], 4 => Any[1.0, 1.0, 0.0005315218614955963, 1.726393770515285e-5, 0.00030507185850612797, 3.602018472529147e-5, 0.008937841292989404, 0.00041345682831771106, 0.0016623499985389935, 0.00029764574014345437, 0.011837554955213261, 0.0014110519731271517, 0.0030199234501637646, 0.0010639445913172758], 6 => Any[1.0, 1.0, 0.0029460180985294805, 0.0003511940602155946, 0.0017858953378965996, 4.269297687453991e-5, 0.003647725099843211, 0.00016459184129588082, 0.007321725039128268, 0.000993566987609642, 0.0006293349637876943, 3.8644278307719065e-5, 0.0004949415227233195, 1.5038376151389568e-5], 7 => Any[1.0, 1.0, 0.013287663126663423, 0.004061496791024304, 0.011703797800999083, 0.005033683097818836, 0.016035188183437857, 0.0020999408875052566, 0.008739297685013738, 0.0038814131749360862, 0.009742243214658188, 0.0018458570046734077, 0.015215113916270711, 0.002100014230860268], 2 => Any[1.0, 1.0, 0.023745088841696887, 0.003060851956756715, 0.019538095847171408, 0.0029754274080498505, 0.006207549214118412, 0.0016266614368284761, 0.004562950474912241, 0.0015890179467710334, 0.012399658195022324, 0.003600650647677939, 0.030260967146819535, 0.0023382704446340765], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.023567977785674866, 0.001499155760115313, 0.004521747091730117, 0.0001611557426080509, 0.0034451554775169965, 0.00030704821330779084, 0.002039297431701512, 0.0012398170804905507, 0.004616592260725708, 0.0009882017796533137, 0.002258280142556136, 0.0002652669973160267])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-2724.0;-2742.0;-109.20505838143511;-7.816688189157308;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;121.344037522;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0009780149641396346, 0.005607240012826166, 0.00011131030671583597, 0.004644193798922501, 0.0006679987716250912, 0.010591373834128857, 0.004046748315400776, 0.009805412794586956, 0.001127252054057163, 0.004569953104843148, 0.0007375877590673055, 0.0036813137120654876], 4 => Any[1.0, 1.0, 0.004431346688063486, 0.027337921378470586, 0.00032366150382654856, 0.004877668582260662, 0.0012792145099473193, 0.0028292115680994645, 0.0007416285895323412, 0.007559453320120567, 8.053260749048053e-5, 0.00038981017374360846, 0.0021140373615747715, 0.015888148370085488], 6 => Any[1.0, 1.0, 0.0006333175280623172, 0.0021967481904638883, 8.007973048889026e-5, 0.001089304552572246, 0.006151112400797376, 0.0361618148491173, 0.013378061544600004, 0.026459876289322, 0.0025372882305160823, 0.008047843772175614, 0.0004131531236626563, 0.0035507316910394237], 7 => Any[1.0, 1.0, 0.000275678264051174, 0.0013710982655283114, 0.00014221945331034257, 0.0006102039243794003, 0.0031148482365069108, 0.015718298640219244, 0.0011133068249740122, 0.0035168527392882287, 0.000736505072902857, 0.0015111679799878325, 0.0009089854162112457, 0.005003728505292324], 2 => Any[1.0, 1.0, 1.6749249504831714e-5, 0.00031759765447567865, 0.00012017881498047961, 0.00954614067035774, 0.0010191582679657469, 0.008469613718731978, 0.0009533688889067289, 0.003061348327116773, 0.0007402832375603202, 0.006899358763569773, 0.0010387944083347115, 0.0024021565924633418], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.0011538977651090678, 0.00286435696077589, 0.00021575967296645954, 0.0015101835911640763, 0.005181729354629785, 0.024905352919340096, 0.0063660779096804745, 0.011882689934800215, 0.0004709550255595446, 0.005298518193667844, 0.0018547711602953376, 0.014809599715554757])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-2732.0;-2742.0;-105.76048356281377;-7.501263730662989;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;115.80481671;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0016809046981844007, 0.0007078777291829499, 0.004294557051000866, 0.0008578181107924913, 0.009911424823192214, 0.0041692027328842675, 0.010597966619966847, 0.0005936550428903585, 0.00464520424691314, 0.00010500666925463801, 0.005657434607521196, 0.000983041755842687], 4 => Any[1.0, 1.0, 0.015544993731802672, 0.002133013970943465, 0.00036920951225573675, 7.958478531066012e-5, 0.007135437544953444, 0.0006820693701627232, 0.002714121728814981, 0.0013263640722342269, 0.005369705686667712, 0.0004210219601622979, 0.029953555988201836, 0.004415356417982345], 6 => Any[1.0, 1.0, 0.0021366232073800912, 0.0004039776249127933, 0.007849723660215269, 0.0023292356116170116, 0.027064287610703345, 0.013025277785039965, 0.03617605791758088, 0.0065900454828078, 0.0009945225382107868, 6.813806844096836e-5, 0.0021311885285301185, 0.0005712806116500843], 7 => Any[1.0, 1.0, 0.004841383368946281, 0.0008957475949517063, 0.0014459071940382312, 0.0004889505839695362, 0.0034752925218467256, 0.0010951152885048186, 0.015930645918953983, 0.003579912692526349, 0.0008612057729449772, 0.00012979683503401812, 0.0014149546509672024, 0.00031903269724982674], 2 => Any[1.0, 1.0, 0.0023870196499413414, 0.0009458476219161104, 0.0047250670016642906, 0.0007583314903603256, 0.003062209039233711, 0.001229719330926346, 0.008213532223701345, 0.001060975626317944, 0.00934568392304195, 0.00012112959312809454, 0.00030240331522690846, 1.7085062533034357e-5], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.01376938249555484, 0.0010975205404720491, 0.003001752630557012, 0.00020317490125597242, 0.00912322695751375, 0.003337061583092096, 0.021238085077996235, 0.004165178802685091, 0.0015770554863073654, 0.00023617445704371436, 0.003490451927882378, 0.001205128009931499])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-2732.0;-2742.0;-105.24834231000703;-7.37189920033733;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;118.507230328;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.003989840846846679, 0.0010484951251131464, 0.013965949297531737, 0.004247824447163458, 0.0160262203424757, 0.002773318505088374, 0.0068158804520337315, 0.0010864645442835606, 0.021653926753596786, 0.00401928357592453, 0.03385051983758569, 0.0013137762533407744], 4 => Any[1.0, 1.0, 0.04298770081197946, 0.025117985722813436, 0.039352131033520935, 0.008627997842904321, 0.01710038056092553, 0.003085180989999849, 0.0030759007737864957, 0.0005650429391732679, 0.010913330200160483, 0.0031349492356846785, 0.03025539949964074, 0.0044171872416946395], 6 => Any[1.0, 1.0, 6.172357734307456e-5, 1.2801790793211951e-5, 0.00144717398202575, 0.0004528363946316211, 0.001261205017003989, 0.00022540465180699587, 0.0027116030982046106, 0.0004837791996337266, 0.00907781925577487, 0.008742680591296858, 0.015242002382218192, 0.009234358056049951], 7 => Any[1.0, 1.0, 0.006849896693044602, 0.0033113161008894226, 0.006191770297976844, 0.004284427635809542, 0.00417256690843981, 0.001285895082914513, 0.03004261361069744, 0.008784695927090289, 0.025535973304394655, 0.000821736414109904, 0.00028042202442172376, 1.012319191361528e-5], 2 => Any[1.0, 1.0, 0.004619442167107308, 0.0008577811405889268, 0.006187073139673638, 0.00013329569452614885, 0.005968488693530686, 0.00059430742608551, 0.0031769249358048032, 3.6204006573378847e-6, 6.769436112113986e-5, 1.4678643844501962e-6, 0.00032722979668692304, 0.00016818123102212517], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.008070761688642262, 0.00040144136770221475, 0.0018875768525583763, 0.0005038957802992588, 0.021168931492720058, 0.0046595466277665355, 0.0033749541049620667, 0.0015007594249903634, 0.0009397848562432182, 7.04590747135754e-5, 0.004164370805962238, 0.0003348182819359955])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-2728.0;-2742.0;-106.66180092194284;-7.768921694152906;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;125.661044438;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0013411438585079862, 0.02531207909307824, 0.004421725620618027, 0.02245487379694433, 0.0013264886511358093, 0.009068536061933318, 0.0032884817750743764, 0.017224000320830143, 0.004338997839531089, 0.012205931623861578, 0.0019882875681546184, 0.004474838186218662], 4 => Any[1.0, 1.0, 0.0018387241100528554, 0.028065332893734148, 0.0023662159701593162, 0.012124879047440851, 0.0013958152372115888, 0.004268680823604675, 0.004865879195543111, 0.021153303779865042, 0.008294012785273648, 0.0390301876022441, 0.02524947536599668, 0.04350005148055359], 6 => Any[1.0, 1.0, 0.007896833977542692, 0.014116413454947834, 0.011169431675994473, 0.01663089174316649, 0.0005860177111883206, 0.002334061666790077, 0.0001548651835897162, 0.0010111208881036357, 0.0009412137114563143, 0.002375051094570083, 1.5303532057816945e-5, 0.00013447093526442938], 7 => Any[1.0, 1.0, 1.0349137243626318e-5, 0.0002896050282848562, 0.0008034192087519179, 0.02549394161314176, 0.008835286402765392, 0.032004464457694656, 0.001279100653379013, 0.004221446688840078, 0.006777200304937924, 0.008338796633532201, 0.003172116853010947, 0.006900942563437561], 2 => Any[1.0, 1.0, 0.0001703114293592991, 0.00029835636822215687, 1.4511132237723286e-6, 6.692825887536965e-5, 3.938910031803522e-6, 0.0031727913698114964, 0.0006030690748038146, 0.0059946688574108835, 0.0001280474830716538, 0.005969312883292038, 0.0008405226210114178, 0.0042016908812170335], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.0003244545360609389, 0.0041987323877608835, 6.0038512554433904e-5, 0.0012955692311715566, 0.0015556781669615227, 0.00316822615015693, 0.004750218337959842, 0.014255721007640733, 0.0006617649216434105, 0.0018172791711314248, 0.0004633059756040867, 0.0085499954159816])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-2730.0;-2742.0;-106.44255192052222;-6.6719363945526045;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;193.40922378;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.001827870402161071, 0.03285604921667707, 0.0013864398630541184, 0.0027316692326085933, 0.0007619710233304545, 0.013486592222611903, 0.0012913223955640857, 0.019053436216288834, 0.0004118723679785214, 0.00394352470209934, 0.0026313268139807108, 0.033868393706501264], 4 => Any[1.0, 1.0, 0.0009842362107256154, 0.0028138131383101178, 0.0014275522862168934, 0.008140797392414552, 0.0003046906851975866, 0.0016320401654633613, 0.00041699843063837806, 0.008883738573305383, 3.654495679558685e-5, 0.0003073536488880816, 2.7977747036629557e-5, 0.0005036137754362216], 6 => Any[1.0, 1.0, 1.756102567886355e-5, 0.0004937586324144492, 6.84256466067156e-5, 0.000653045132235257, 0.0009338735096837746, 0.0069324617421832645, 0.00013414070822194738, 0.0036254991710628712, 4.040800735842816e-5, 0.001657725264901344, 0.0002984427642775689, 0.0027206712886770675], 7 => Any[1.0, 1.0, 0.0018641676864647647, 0.014835349776667358, 0.0018347715328819645, 0.009724152263587893, 0.005918630071527829, 0.008596530025920833, 0.0021848371305646106, 0.016035846448430823, 0.0050440029074570545, 0.01171282166870588, 0.0039515759785180935, 0.015473595885458316], 2 => Any[1.0, 1.0, 0.002290868274335779, 0.02911032506076855, 0.0036111310280115094, 0.012528182829882014, 0.0017307107815405106, 0.0036526726630649715, 0.0016700471378590755, 0.006262433303272161, 0.0030504609102402977, 0.019449294821861036, 0.0032976092001049963, 0.02449261528114966], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.00023546615007115243, 0.0022917673373172966, 0.0010060871499466737, 0.004545831366441078, 0.0013516516897061478, 0.002040462192342906, 0.00028404427800319377, 0.0039120610137136705, 0.00023907038128842393, 0.00483051859706516, 0.0016019750751751142, 0.02441924217857306])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-2728.0;-2742.0;-108.29627706951362;-7.353780002141782;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;89.293137893;0.33;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.011523243352828602, 0.00015083375954995655, 0.00140572125836799, 0.0006041972818428316, 0.03967982981469829, 0.005244619048393099, 0.026755907748767526, 0.0008371600942511926, 0.003761021947301734, 0.0003002796049273558, 0.008020953724470047, 0.002237229855530238], 4 => Any[1.0, 1.0, 0.054131475518672964, 0.010505331270898602, 0.027724361624532085, 0.0015580919738278946, 0.0378954986552834, 0.0008757441287312688, 0.01855349265942063, 0.00188734017390679, 0.00964973498162465, 0.00020053707215683396, 0.009146068236630542, 0.0008104999244143302], 6 => Any[1.0, 1.0, 0.005506846101659464, 0.0008592156002377741, 0.005144775985836837, 0.000748739667524578, 0.01974640344281906, 0.003926476696245415, 0.002698480876782377, 0.0015763609606776305, 0.02367250901999336, 0.011907091054304939, 0.06616189207831746, 0.0030231192641431066], 7 => Any[1.0, 1.0, 0.004260005071936034, 0.0012340500537754903, 0.02087067488478229, 0.0010940079814883742, 0.036371533012964155, 0.002788736405708544, 0.010101357248798605, 0.0009203681028939981, 0.029941926991469463, 0.025548350536363222, 0.03702723076422446, 0.0015610204869428463], 2 => Any[1.0, 1.0, 0.01158436525056795, 0.0018587673882636856, 0.0034523431289172303, 0.0009488635060698493, 0.03164122676060661, 0.005436609165116689, 0.011762489919233975, 0.0014635224740916066, 0.018765677654874673, 0.0005198203044424643, 0.008738031900556097, 0.001357287490143221], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.010778672217345076, 0.0029013888495124014, 0.001884288171276343, 0.00015153473296660388, 0.008712435352067253, 0.0005276521953857066, 0.028387265438687442, 0.006517487544808679, 0.03439981290518318, 0.001992081832489872, 0.01357809927036528, 0.0018371410172043075])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-2736.0;-2762.0;-109.73114376826929;-6.543230156058506;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;122.979501294;0.32;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.017736408667525592, 0.0036699749510207954, 0.016768019504390847, 0.0014978887198573998, 0.010259217337917381, 0.0032139686835448507, 0.00493863636361472, 0.000836437063413607, 0.0017187768881116925, 0.0004191447341825585, 0.00023277897989547054, 8.121683234688089e-6], 4 => Any[1.0, 1.0, 0.012337687317709655, 0.0017729228763129947, 0.012492759452974404, 0.0022066895784885886, 0.00082085424815213, 0.0005380318122658207, 0.00522116128761902, 0.0005919622695371629, 0.014425162291126259, 0.005896592557518078, 0.011181472491316907, 0.0011791820711611956], 6 => Any[1.0, 1.0, 0.0034710956803668635, 0.0016306771280047774, 0.005516694708714807, 0.002274172151861303, 0.008789225311662234, 0.001893274409528891, 0.016393258488795328, 0.0032168792856698243, 0.01000900193977168, 0.0032752528297122704, 0.010567437706449781, 0.001710989525262633], 7 => Any[1.0, 1.0, 0.0036784610982851604, 0.0025914880959079204, 0.017214471571323466, 0.006097261479238734, 0.007608273502712343, 0.0005319093129064214, 0.0002099597536141682, 0.0002687615359657541, 0.0036591572449203493, 0.0007488462106556372, 0.009270474773860506, 0.0034174293876122596], 2 => Any[1.0, 1.0, 0.00011833324745483416, 0.00020368218182348512, 0.017041312940876092, 0.00379592082089775, 0.010265118864182654, 0.0019858800145615336, 0.007342068900116149, 0.0024898833997864683, 0.013648631786689918, 0.004394730705824187, 0.03055763797362176, 0.0016805980624208054], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.021157537709807737, 0.002956072159577836, 0.01195587995517396, 0.002441321062476814, 0.01780347733254117, 0.0014925857458093419, 0.0013942148593376223, 0.0008966295676572276, 0.013242550267820489, 0.0018039009389897898, 0.005865640398820868, 0.0006706753624494401])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-2734.0;-2762.0;-111.81270321532334;-7.126208783234048;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;97.362622537;0.32;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.005118863382609603, 0.01556719129076673, 0.00046212850052754223, 0.002611899449532311, 0.0007200957228797834, 0.011480746411375493, 0.00047588314576592605, 0.005058632170956543, 0.001111881570573652, 0.0047529761284693835, 0.004832780410607472, 0.03380138880640453], 4 => Any[1.0, 1.0, 0.003911352793387866, 0.015960194714428045, 0.0029470435455500044, 0.008711382966876522, 0.003993244381567916, 0.02182636664636192, 0.0058125800521746035, 0.023114514059340535, 0.003712186590664613, 0.028731558849358924, 0.002727654948445922, 0.0037961988127043047], 6 => Any[1.0, 1.0, 0.0021398770489157, 0.005372890364364758, 0.00046509623034870514, 0.0028415514777100667, 0.0023952780557560524, 0.018340109609529663, 0.00580342912988947, 0.018281325911859953, 0.00571136936530427, 0.023484279203006494, 0.002258573081337948, 0.004228662942817453], 7 => Any[1.0, 1.0, 9.970200793533703e-5, 0.001115697979519252, 0.00022634857871226674, 0.00868917587161208, 0.0012887114976570684, 0.014180186404820348, 0.0037244928376092288, 0.019537281079956916, 0.002261853936701866, 0.03211769166915685, 0.007671104548741505, 0.04365365185500075], 2 => Any[1.0, 1.0, 0.0021721978379840886, 0.04541294090353257, 0.009125935499073203, 0.023158032048114317, 0.0029939911189194282, 0.019820236155313108, 0.003844385960539183, 0.006053274331750279, 0.0015941686095667423, 0.006613485420157551, 0.0012851507523173019, 0.015386979660073054], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 0.012682079400942856, 0.040001644113770676, 0.0008410586211962547, 0.008481289407499874, 0.0038240032929119446, 0.02469600378104923, 0.001211802768007962, 0.007994517892623981, 0.0017750219072147644, 0.012479982538712594, 0.0008608925944763153, 0.010866472538484878])
